Page,Job_title,Company,Location,Search_eng,Term,URL,New_job
1,SOFTWARE ENGINEER - GRADUATE/JUNIOR,Ansaldo STS Australia Pty Ltd,,SEEK,software engineering,https://www.seek.com.au//job/35531574?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249092,
6,Lead Mobile Developer,Attract People,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35414431?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3251395,
4,Structural Engineer,Aurecon Group Brand (Pte) Ltd,Queensland,Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=74c58isq4z&lang=en&k=software+engineering,
0,Grid Systems Engineer,Australian Energy Market Operator (AEMO),CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35556312?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3248663,*new role!
6,ASIO Future Technologists Graduate Program - ACT,Australian Security Intelligence Organisation,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35428231?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3251395,
6,Specialist Technical Computing Apps & GIS,BHP Billiton Group,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35437364?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3251395,
0,Principal Software Engineer,BOEING,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=58edbbf540a89e21&fccid=edae4285faf6c2f0&vjs=3,
2,Full-Stack Software Engineer,Blue Ocean Sourcing Pty Ltd,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35523851?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249567,
0,Software Tester,Boeing,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=u6q9ag78qu&lang=en&k=software+engineering,
5,Software Developer,Boeing,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=pg4cirgrxi&lang=en&k=software+engineering,
4,Software Developers,Boeing Defence Australia,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35467688?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250473,
3,Software Developer ,Boeing Defence Australia,,SEEK,software engineering,https://www.seek.com.au//job/35493282?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250023,
1,Principal Software Engineer,Boeing Defence Australia,,SEEK,software engineering,https://www.seek.com.au//job/35536694?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249092,
0,Data Science Analytics Engineer,Boeing Defence Australia,,SEEK,software engineering,https://www.seek.com.au//job/35557884?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3248663,*new role!
3,Software Tester ,Boeing Defence Australia,,SEEK,software engineering,https://www.seek.com.au//job/35493518?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250023,
6,Intermediate C# / Javascript Software Developer,Brightfox,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35442845?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3251395,
4,Programming Engineer,CSIRO,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=pwrvayicfd&lang=en&k=software+engineering,
4,Civil Designer (Townsville),Cardno Limited.,Queensland,Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=kikz4dmwwb&lang=en&k=software+engineering,
1,Principal Engineer,Cubic,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35541951?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249092,
0,Firmware Engineer,Data#3 People Solutions,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35563146?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3248663,
0,Integration Engineer - Rhapsody,Data#3 People Solutions,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35551474?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3248663,*new role!
2,Network Engineer / Security Analyst,Datacom,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=b1f365c37b918090&fccid=3a563d9c403ac485,
3,Network Engineer /Security Analyst,Datacom - NZ's largest home-grown professional IT services business,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35496145?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250023,
3,Java Developer - J2EE - Permanent role ,Davidson Technology,,SEEK,software engineering,https://www.seek.com.au//job/35488460?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250023,
0,Java Developer,Davidson Technology,,SEEK,software engineering,https://www.seek.com.au//job/35568399?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3248663,*new role!
3,Java Developer - Microservices,Davidson Technology,Southern Suburbs & Logan,SEEK,software engineering,https://www.seek.com.au//job/35488992?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250023,
4,Global Account Executive,Dell,"Chandler, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=7wegptizf5&lang=en&k=software+engineering,
4,AEM Developer,Deloitte,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=jjt8n8g09c&lang=en&k=software+engineering,
5,Level 3 SCCM / Applications Packager,Dimension Data,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35454952?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250906,
0,Dynamics CRM/Dynamics 365 Functional Consultant/Architect: Major Dynamics Player,ETE Group Pty Ltd,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35576497?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3248663,*new role!
2,Software Development Engineer,Egencia,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=4gr2x9v9wd&lang=en&k=software+engineering,
5,Software Dev Engineer II,Egencia,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=2s4bdb9d6j&lang=en&k=software+engineering,
2,Systems/Automation Engineer ,Exclaim IT,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35511967?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249567,
2,Systems/Automation Engineer,Exclaim IT Pty Ltd,Brisbane Central Business District QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=49b011b17e1c3a1a&fccid=f2f45b74dd248f1d,
2,Software Engineer,Exelis,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=unepei23xx&lang=en&k=software+engineering,
5,Software Development Engineer,Expedia,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=82079b58ee17b171&fccid=3169292148c15eab&vjs=3,
5,Software Dev Engineer II,"Expedia, Inc","Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=mjvb7zp2jn&lang=en&k=software+engineering,
0,Software Development Engineer,"Expedia, Inc","Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=55qss2de7p&lang=en&k=software+engineering,
4,Field Engineer - PC Technician - Brisbane - asap!,Experis,Bayside & Eastern Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35481110?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250473,
0,Symantec,Experis,,SEEK,software engineering,https://www.seek.com.au//job/35561508?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3248663,*new role!
4,Front End Web Developer,Fathom Applications Pty Ltd,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=a6871a2adc6d336c&fccid=e889958f618f2548,
4,Sessional Teaching Opportunities,Federation University Australia,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35476490?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250473,
1,Sessional Teaching,Federation University Australia,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=45763dc8af89e5a7&fccid=dd1404c2db7d1970&vjs=3,
6,Full Stack PHP Developer ,Finite IT Recruitment Solutions,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35445278?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3251395,
0,Technical Lead ,GMT People,Bayside & Eastern Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35574525?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3248663,*new role!
2,Software Engineer – C# and Delphi,GQR Global Markets,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35504356?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249567,
1,Front End Developer,GRANITE CONSULTING,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35549357?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249092,
6,Angular Developer,GRIT Talent Consulting,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=7310086c8b7baa93&fccid=25f5d950ee5d3cf4,
1,Lead Software & Systems Engineer - CAS,General Electric Company,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=g6qci5kxhs&lang=en&k=software+engineering,
4,Geotechnical Engineer,Glencore,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=m3gwj9t6uv&lang=en&k=software+engineering,
3,"Snr Lecturers, Bus. IS/Comp. Science/Network or Cyber Security",Griffith University,Southern Suburbs & Logan,SEEK,software engineering,https://www.seek.com.au//job/35498201?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250023,
6,Software Engineer,Hallis,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35445246?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3251395,
1,Software Engineer (Simulation and Modelling) - 19503,Harris Communications (Australia),CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35548037?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249092,*new role!
1,Software Engineer,Harris Corporation,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=cb9ppfv70q&lang=en&k=software+engineering,
5,Mine to Mill Mining Engineer,Hatch Ltd,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=f2sk0nr3x4&lang=en&k=software+engineering,*new role!
4,Junior Software & Systems Engineer,Hatch Pty Ltd,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35470788?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250473,
0,Lead Software Engineer,Hays,Brisbane Central Business District QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=b675fba702466e77&fccid=31670bef3ae6497b&vjs=3,
5,"Software Engineer (C#, .Net)",Hays Information Technology,,SEEK,software engineering,https://www.seek.com.au//job/35457763?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250906,
6,Intermediate .Net Developer,Hays Information Technology,,SEEK,software engineering,https://www.seek.com.au//job/35427936?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3251395,
2,Sitecore - Full Stack .Net Developer,Hudson,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=bb0b2309358d6c13&fccid=431d2ca6de573e38,
6,API Software engineer,Huxley Associates,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35437028?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3251395,
3,Technical Support and Application Engineer,IDS AUSTRALASIA,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//company/IDS-AUSTRALASIA/jobs/Technical-Support-Application-Engineer-b2a86a1e8e265711?fccid=516f69942856f9f3,
5,Automation Engineer,IPA,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35462495?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250906,
4,Software Engineer,Ice Media,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35227776?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250473,
1,"Consultant, Software Engineer",Ignite,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=vt2ygw4trq&lang=en&k=software+engineering,
3,"Consultant, Software Engineer",Ignite Specialist Recruitment Services,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=a471a2d8adfcbd87&fccid=457bdd0d549a3149,
4,Front End Developer,Interpro - QLD,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35482143?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250473,
5,Lead Developer,Interpro - QLD,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35461794?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250906,
5,"Full Stack Developer (React, PHP)",Interpro - QLD,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35461321?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250906,
4,Full Stack Developer (PHP),Interpro - QLD,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35483935?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250473,
2,Major Minerals Project: Engineers and Designers,Jacobs Group (Australia) Pty Ltd,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35510763?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249567,
1,2x Intermediate .NET Developers,Just Digital People,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35542985?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249092,
6,Java Software Engineer,Just Digital People,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35431288?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3251395,
1,Software Developer,Leidos Australia Pty Ltd,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35549452?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249092,
4,Mechanical Engineer,Lever (Aust),CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35483417?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250473,
0,Integration Engineer/Developer,Lime Recruitment,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35552672?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3248663,
6,Software Engineer,Mansell Taylor Consulting,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35437639?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3251395,
5,"Consultant, Software Engineering",MasterCard,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=h9tzfmcpmj&lang=en&k=software+engineering,
3,"Consultant, Business Analyst",MasterCard,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=48b68a9ff0a0fee5&fccid=10b5c722d846df43,
2,Backend Software Engineer,Megaport (Australia) Pty Limited,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35500401?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249567,
2,Frontend Software Engineer,Megaport (Australia) Pty Limited,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35500481?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249567,
1,Mining Engineer,Minjar Gold Pty Ltd,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35532655?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249092,
3,Full Stack JavaScript Developer,NatRecANZ,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35491060?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250023,
1,Designer / Front-end Developer,NetEngine,South Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=76ea316e3f9dbed7&fccid=85dd723bf99a5ba4&vjs=3,
4,Javascript Developer,NetEngine,South Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=4fb74eb1d3aec5f6&fccid=85dd723bf99a5ba4,
1,Software Engineer Ruby on Rails,NetEngine,South Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=955723ed475e7922&fccid=85dd723bf99a5ba4&vjs=3,
2,Mechanical Piping Engineer - Perth,OSD Limited,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=2t9wmthbtw&lang=en&k=software+engineering,
3,Full-stack Software Engineer,On Brand Investments Pty Ltd,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35498552?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250023,*new role!
1,Firmware Engineer,OnTalent Pty Ltd,,SEEK,software engineering,https://www.seek.com.au//job/35534773?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249092,
5,User Interface Software Engineer – Applications Software,OnTalent Pty Ltd,Bayside & Eastern Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35451866?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250906,
1,Software Engineer - Java,Optimum Consulting Group,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35550471?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249092,
1,Principal Member of Technical Staff - OpenSSL/Crypto/FIPS - Product Engineering,Oracle,"Brisbane, Queensland",Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=wkua86w96k&lang=en&k=software+engineering,
3,Research Assistant - Automatically discovering sanitizers an...,Oracle,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=996f1d96bd000274&fccid=cd22d01053af7669,
1,Research Assistant - Test case generation for Node.js web ap...,Oracle,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=73f2ae3def7e034d&fccid=cd22d01053af7669&vjs=3,
2,Research Assistant: Architecture Summarisation of Large Ente...,Oracle,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=2fe9000b066f8b2e&fccid=cd22d01053af7669,
1,Research Assistant - Post-Mortem Program Analysis,Oracle,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=397b5e44e1f3704d&fccid=cd22d01053af7669&vjs=3,
2,Research Assistant Automatically Improving Security-Specific...,Oracle,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=bac07b169b83be98&fccid=cd22d01053af7669,
4,Tools & Automation Developer,Oracle,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=f4fd6c7f343fe98f&fccid=cd22d01053af7669,
6,Principal Member of Technical Staff - OpenSSL/Crypto/FIPS -...,Oracle,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=3d2ecab91764e1b5&fccid=cd22d01053af7669,
2,Software Engineer | JavaScript,PRA,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35515493?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249567,
1,Level 1 Support role,PRA,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=d656b8c255e40316&fccid=3639ccbe63c86927&vjs=3,
5,Software Engineer,PRA,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35463753?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250906,
1,Full-Stack Developer (JavaScript/React/Node.js) - Brisbane location,Paxus Australia Pty Ltd,,SEEK,software engineering,https://www.seek.com.au//job/35530982?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249092,
6,Integration Specialist,Paxus Australia Pty Ltd,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35419963?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3251395,
4,DevOps Engineer,Paxus Australia Pty Ltd,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35474858?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250473,
5,Junior level .NET Developer,Paxus Australia Pty Ltd,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35458183?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250906,
0,Integration Analyst (Clinical/Healthcare),Paxus Australia Pty Ltd,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35552810?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3248663,
2,Applications Engineer,Phillip Riley,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35519633?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249567,
6,iOS Developer,Preacta Recruitment,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35411413?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3251395,
0,2019 Vacation program - Brisbane - Technology,PwC,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=4468bf7f4fedfc9b&fccid=5e964c4afc56b180&vjs=3,
0,2019 Graduate program - Brisbane - Technology,PwC,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=5ec3cbd16b390ffa&fccid=5e964c4afc56b180&vjs=3,
2,Software Developer - genomiQa,QIMR Berghofer Medical Research Institute,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35511863?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249567,
0,EXPERIENCED ELECTRONIC ENGINEER,RF Technologies Australia Pty Ltd,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35570109?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3248663,*new!
0,Sitecore Developer,Randstad - Technologies,Southern Suburbs & Logan,SEEK,software engineering,https://www.seek.com.au//job/35575462?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3248663,*new role!
5,Software Maintenance Engineer,"Red Hat, Inc.",Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=33993853d1dbd090&fccid=e24a60f01d1882d1&vjs=3,
6,PHP Developer,RedEye Apps,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35441238?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3251395,
6,Test Analyst,Redback Technologies,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35428053?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3251395,
5,Executive Assistant,Redback Technologies,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35457067?type=standout&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250906,
6,Graduate/Junior Software Testing Engineer,Revolution IT,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=ed17244cb7e8b467&fccid=c6af32b999f42d35,
4,DevOps Engineer | Hybrid Environment | Cloud Strategy ,Robert Half Technology,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35487694?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250473,
2,Applications Engineer,Robinson Executive,,SEEK,software engineering,https://www.seek.com.au//job/35516726?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3249567,
5,Technical Support Officer,SITECH Construction Systems,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35449962?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250906,
6,A Business Guy (once a wannabe developer),SSW,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//company/SSW/jobs/Business-Guy-7641b76a4b29b87c?fccid=8a248ab101d2ca31,
2,Technical Services Representative,Solvay,Queensland,Neuvoo,software engineering,https://au.neuvoo.com/job.php?id=wsbpdrippn&lang=en&k=software+engineering,
3,"Java, Spring and API's | Tech Lead",Suncorp,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35488449?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250023,
0,"Java, Spring and API's | Software Engineer",Suncorp,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35569280?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3248663,
4,API | Software Engineer,Suncorp,CBD & Inner Suburbs,SEEK,software engineering,https://www.seek.com.au//job/35477768?type=standard&userqueryid=1e5b92765efcdbff4c0a8bc6def27df1-3250473,*new role!
1,API | Software Engineer,Suncorp Group,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=6f133066d126891a&fccid=095b91d1e7195475&vjs=3,
2,"Java, Spring and API's | Tech Lead",Suncorp Group,Brisbane QLD,Indeed,software engineering,https://au.indeed.com//rc/clk?jk=bd3e49412c48ebf0&fccid=095b91d1e7195475,
